,agent,time,event,next_position,travel_time,moving,waiting,task,position,picked_up_item,locked_item
6858,140215394819904,4945.201777487237,store_item_end,,,0,0,1,140215394843712.0,,140215394840880.0
6859,140215394840928,4945.201777487237,store_item_end,,,0,0,1,140215394944768.0,,140215398207152.0
6860,140215394819904,4945.201777487237,end_of_main_process,,,0,0,0,140215394843712.0,,
6861,140215394840928,4945.201777487237,end_of_main_process,,,0,0,0,140215394944768.0,,
6862,140215394819904,4956.594379258624,start_task,,,0,0,1,140215394843712.0,,
6863,140215394819904,4956.594379258624,moving_start,140215394944768.0,1.3333333333333333,1,0,1,,,140215398207152.0
6864,140215394819904,4957.927712591957,moving_end,,,0,0,1,140215394944768.0,,140215398207152.0
6865,140215394819904,4957.927712591957,pick_up_start,,,0,0,1,140215394944768.0,,140215398207152.0
6866,140215394819904,4958.027712591957,pick_up_end,,,0,0,1,140215394944768.0,140215398207152.0,140215398207152.0
6867,140215394819904,4958.027712591957,moving_start,140215394818800.0,1.0,1,0,1,,140215398207152.0,140215398207152.0
6868,140215394819904,4959.027712591957,moving_end,,,0,0,1,140215394818800.0,140215398207152.0,140215398207152.0
6869,140215394819904,4959.027712591957,store_item_start,,,0,0,1,140215394818800.0,140215398207152.0,140215398207152.0
6870,140215394819904,4959.127712591958,store_item_end,,,0,0,1,140215394818800.0,,140215398207152.0
6871,140215394946928,4959.127712591958,start_task,,,0,0,1,140215394819088.0,,
6872,140215394946928,4959.127712591958,moving_start,140215394818800.0,2.8666666666666667,1,0,1,,,140215398207152.0
